part,cid,title,duration_seconds,url
1,39755975667,一个人在家做AI漫剧能赚钱吗？,2610,https://www.bilibili.com/video/BV1eE411F73t/?p=1
2,167845774,第一课-劝学1.1,1010,https://www.bilibili.com/video/BV1eE411F73t/?p=2
3,167847370,第一课-劝学1.2,1343,https://www.bilibili.com/video/BV1eE411F73t/?p=3
4,167849613,第一课-劝学1.3,726,https://www.bilibili.com/video/BV1eE411F73t/?p=4
5,167850841,第二课-故事的要素2.1,1277,https://www.bilibili.com/video/BV1eE411F73t/?p=5
6,167853069,第二课-故事的要素2.2,1946,https://www.bilibili.com/video/BV1eE411F73t/?p=6
7,167856598,第三课-八要素的实战应用3.1,1674,https://www.bilibili.com/video/BV1eE411F73t/?p=7
8,167859809,第三课-八要素的实战应用3.2,2030,https://www.bilibili.com/video/BV1eE411F73t/?p=8
9,167864038,第四课-第一个故事4.1,1397,https://www.bilibili.com/video/BV1eE411F73t/?p=9
10,167867112,第四课-第一个故事4.2,1525,https://www.bilibili.com/video/BV1eE411F73t/?p=10
11,167870818,第五课-剧本的正义5.1,1488,https://www.bilibili.com/video/BV1eE411F73t/?p=11
12,167874116,第五课-剧本的正义5.2,1182,https://www.bilibili.com/video/BV1eE411F73t/?p=12
13,167877064,第六课-剧本的格式6,1850,https://www.bilibili.com/video/BV1eE411F73t/?p=13
14,167881562,第七课-拿事儿说话7,1185,https://www.bilibili.com/video/BV1eE411F73t/?p=14
15,167884665,第八课-勾勒画面8.1,2318,https://www.bilibili.com/video/BV1eE411F73t/?p=15
16,168276930,第八课-勾勒画面8.2,1623,https://www.bilibili.com/video/BV1eE411F73t/?p=16
17,168277841,第八课-勾勒画面8.3,1993,https://www.bilibili.com/video/BV1eE411F73t/?p=17
18,170763096,第九课-谈谈人物9.1,2564,https://www.bilibili.com/video/BV1eE411F73t/?p=18
19,170789570,第九课-谈谈人物9.2,2018,https://www.bilibili.com/video/BV1eE411F73t/?p=19
20,171645463,第十课-复杂叙事10.1,2252,https://www.bilibili.com/video/BV1eE411F73t/?p=20
21,171668148,第十课-复杂叙事10.2,1427,https://www.bilibili.com/video/BV1eE411F73t/?p=21
22,173862838,十一课-类型片11.1,1901,https://www.bilibili.com/video/BV1eE411F73t/?p=22
23,173863407,十一课-类型片11.2,1909,https://www.bilibili.com/video/BV1eE411F73t/?p=23
24,173861080,十一课-类型片11.3,1357,https://www.bilibili.com/video/BV1eE411F73t/?p=24
25,174056852,十二课-小蝌蚪找妈妈12.1,1594,https://www.bilibili.com/video/BV1eE411F73t/?p=25
26,174057044,十二课-小蝌蚪找妈妈12.2,1704,https://www.bilibili.com/video/BV1eE411F73t/?p=26
27,174057108,十二课-小蝌蚪找妈妈12.3,1908,https://www.bilibili.com/video/BV1eE411F73t/?p=27
28,177384361,十三课-电视剧13.1,1867,https://www.bilibili.com/video/BV1eE411F73t/?p=28
29,177383899,十三课-电视剧13.2,1489,https://www.bilibili.com/video/BV1eE411F73t/?p=29
30,177384367,十三课-电视剧13.3,1816,https://www.bilibili.com/video/BV1eE411F73t/?p=30
31,177384393,十三课-电视剧13.4,1723,https://www.bilibili.com/video/BV1eE411F73t/?p=31
32,181727234,十四课-场景与对白14.1,2449,https://www.bilibili.com/video/BV1eE411F73t/?p=32
33,181763918,十四课-场景与对白14.2,2956,https://www.bilibili.com/video/BV1eE411F73t/?p=33
34,190273161,十五课-节拍器15.1,1931,https://www.bilibili.com/video/BV1eE411F73t/?p=34
35,190303059,十五课-节拍器15.2,2302,https://www.bilibili.com/video/BV1eE411F73t/?p=35
36,190316428,十五课-节拍器15.3,1148,https://www.bilibili.com/video/BV1eE411F73t/?p=36
37,190331356,十五课-节拍器15.4,1447,https://www.bilibili.com/video/BV1eE411F73t/?p=37
38,202189245,十六课-悬念与反转16,3658,https://www.bilibili.com/video/BV1eE411F73t/?p=38
39,202545835,十七课-新手跳坑17,3201,https://www.bilibili.com/video/BV1eE411F73t/?p=39
40,207918303,十八课-拿人的开场18.1,3065,https://www.bilibili.com/video/BV1eE411F73t/?p=40
41,207918389,十八课-拿人的开场18.2,5217,https://www.bilibili.com/video/BV1eE411F73t/?p=41
42,212090316,十九课-怎么撰写项目提案19,2636,https://www.bilibili.com/video/BV1eE411F73t/?p=42
43,227072905,二十课-编剧拉片20,4218,https://www.bilibili.com/video/BV1eE411F73t/?p=43
44,239866710,二十一课-谈几个进阶问题（上）21.1,2478,https://www.bilibili.com/video/BV1eE411F73t/?p=44
45,239868634,二十一课-谈几个进阶问题（下）21.2,2113,https://www.bilibili.com/video/BV1eE411F73t/?p=45
46,252711256,二十二课-G潮上不去？（上）22.1,2560,https://www.bilibili.com/video/BV1eE411F73t/?p=46
47,252782284,二十二课-G潮上不去？（下）22.2,2910,https://www.bilibili.com/video/BV1eE411F73t/?p=47
48,254049644,二十三课-怎么写喜剧？(上）23.1,2562,https://www.bilibili.com/video/BV1eE411F73t/?p=48
49,254051910,二十三课-怎么写喜剧？（下）23.2,2945,https://www.bilibili.com/video/BV1eE411F73t/?p=49
50,266235698,二十四课-剖析烂片24,4619,https://www.bilibili.com/video/BV1eE411F73t/?p=50
51,272336072,二十五课-观影情绪节拍表25,3108,https://www.bilibili.com/video/BV1eE411F73t/?p=51
52,275889704,二十六课-从容应对文艺凡尔赛26,4305,https://www.bilibili.com/video/BV1eE411F73t/?p=52
53,310082561,二十七课-剧本的叙事视角27,3868,https://www.bilibili.com/video/BV1eE411F73t/?p=53
54,327535922,二十八课-编剧课科目三28,5411,https://www.bilibili.com/video/BV1eE411F73t/?p=54
55,333133917,二十九课-剧情要有攻击性29,2223,https://www.bilibili.com/video/BV1eE411F73t/?p=55
56,383686698,三十课-人类为什么需要影视剧30,5042,https://www.bilibili.com/video/BV1eE411F73t/?p=56
57,385383259,三十一课-单元剧的创作理念31,4062,https://www.bilibili.com/video/BV1eE411F73t/?p=57
58,425876128,三十二课-跟《鱿鱼游戏》学写强设定,4911,https://www.bilibili.com/video/BV1eE411F73t/?p=58
59,542014362,三十三课-怎样克服拖延症,2536,https://www.bilibili.com/video/BV1eE411F73t/?p=59
60,713227009,三十四课-查理小三角创作法,2844,https://www.bilibili.com/video/BV1eE411F73t/?p=60
61,1118879677,《让子弹飞》直播拉片,6398,https://www.bilibili.com/video/BV1eE411F73t/?p=61
62,1348722777,查理老师告诉你，短剧为什么这么火！,951,https://www.bilibili.com/video/BV1eE411F73t/?p=62
63,30110452996,职业编剧怎么用ai写剧本,1854,https://www.bilibili.com/video/BV1eE411F73t/?p=63
64,26532774570,如何写好单场戏，让每一集都有钩子？,2709,https://www.bilibili.com/video/BV1eE411F73t/?p=64
65,28739110936,编剧的第一性原理,2367,https://www.bilibili.com/video/BV1eE411F73t/?p=65
66,31421369184,写了剧本怎么投稿,3782,https://www.bilibili.com/video/BV1eE411F73t/?p=66
67,33428148085,编剧库3.0大升级来了！快来参与普查，订单主动找你对接,128,https://www.bilibili.com/video/BV1eE411F73t/?p=67
68,26225279963,无论看多少次都觉得超级！无敌！治愈！《玩具总动员》拉片解读，独特视角（一）,2350,https://www.bilibili.com/video/BV1eE411F73t/?p=68
69,26255689411,【编剧视角拉片】保姆级拆解《玩具总动员》看完你也能复刻！（二）,1158,https://www.bilibili.com/video/BV1eE411F73t/?p=69
70,26314736392,【编剧拉片】麻花喜剧巅峰神作！《夏洛特烦恼》逐帧分析创作思路，颠覆你的认知！（一）,1853,https://www.bilibili.com/video/BV1eE411F73t/?p=70
71,29819406039,编剧视角拉片《夏洛特烦恼》逐帧分析创作思路！全程干货拉满！（二））,1144,https://www.bilibili.com/video/BV1eE411F73t/?p=71
72,26454394257,【专业编剧带你拉片】科幻神作！细读《星际穿越》，爱是唯一可以超越时间与空间的事,3137,https://www.bilibili.com/video/BV1eE411F73t/?p=72
73,27089243632,编剧视角拉片《无间道》，双雄戏悬疑戏跟它学就对了！,4222,https://www.bilibili.com/video/BV1eE411F73t/?p=73
74,27089765971,编剧视角拉片《保你平安》集结喜剧半壁江山，大鹏黑马口碑喜剧,2682,https://www.bilibili.com/video/BV1eE411F73t/?p=74
75,27433699594,编剧视角拉片《男妇女主任》小品型电影看完你就会写了！,1597,https://www.bilibili.com/video/BV1eE411F73t/?p=75
76,28280883637,《哪吒2》为啥这么爆？查理老师新年第一讲，一起写好中国故事！,2176,https://www.bilibili.com/video/BV1eE411F73t/?p=76
77,29816391796,编剧视角拉片《闻香识女人》两个截然不同的灵魂在困境中相互救赎!,4322,https://www.bilibili.com/video/BV1eE411F73t/?p=77
78,29816848633,编剧视角拉片《猩球崛起》，人猿对战背后的隐喻！,3364,https://www.bilibili.com/video/BV1eE411F73t/?p=78
79,29817176838,编剧视角拉片《幸福终点站》等待未必是坏事，在等待中寻找生活的转机！,3452,https://www.bilibili.com/video/BV1eE411F73t/?p=79
80,29818162710,编剧视角拉片经典传记片《华尔街之狼》,2671,https://www.bilibili.com/video/BV1eE411F73t/?p=80
