P003 第一课-劝学1.2
离线 ASR 机器转录，未人工听校；可能有错字、漏字或断句错误，不能直接等同于老师逐字原话。
来源：https://www.bilibili.com/video/BV1eE411F73t/?p=3
CID：167847370
源文件 SHA256：88a6be72a8801e5fab993fc7f6f876e63e57e03463a88a45414fe6e598ba6b09

[00:00:04.582–00:00:06.700] 好，那咱们接着往下说啊。
[00:00:08.102–00:00:09.196] 我觉得咱们在。
[00:00:09.862–00:00:14.220] 学习当编剧之前，有必要先了解一下这个行业。
[00:00:15.142–00:00:22.156] 不熟悉的有很多同学不熟悉，我可以给大家简单讲一下，了解一下目前中国影视行业的现状。
[00:00:28.294–00:00:29.804] 影视这个行业的现状。
[00:00:33.222–00:00:34.060] 简单说。
[00:00:34.822–00:00:36.108] 就是水平低下。
[00:00:36.710–00:00:37.708] 烂片很多。
[00:00:39.206–00:00:46.124] 这个也不是说咱们自己妄自菲薄，这个事情肉眼可见，不管是行内人还是观众，大家都看得到。
[00:00:46.758–00:00:47.372] 确实。
[00:00:47.974–00:00:48.524] 很烂。
[00:00:49.094–00:00:51.724] 咱不用说在世界上，你就在亚洲。
[00:00:52.550–00:00:53.580] 你说日韩。
[00:00:55.014–00:00:56.140] 你说港台。
[00:00:57.734–00:00:58.444] 泰国。
[00:00:59.814–00:01:00.492] 伊朗。
[00:01:01.190–00:01:02.348] 跟位说还有个印度。
[00:01:02.918–00:01:03.532] 都比我们强。
[00:01:04.230–00:01:05.068] 实力都比我们强。
[00:01:06.054–00:01:07.884] 呃，至于为什么这么差呢？
[00:01:09.030–00:01:10.508] 一句话，两句话说不清楚。
[00:01:11.014–00:01:23.820] 有些人说是与审查有关呀，广电总局啊什么的，一句话，两句话说不清楚。我给大家举个例子吧，中国的影视，中国的现在的影视圈有点像一个封闭的高中食堂。
[00:01:25.222–00:01:26.380] 一个封闭的高中市场。
[00:01:26.854–00:01:29.676] 你吃过有好吃的封闭的食堂吗？
[00:01:30.822–00:01:31.628] 不可能的。
[00:01:32.102–00:01:38.124] 一个封闭管理的高中食堂，你不能去别的地方吃，只能在这吃。这家食堂好吃不了，为啥？
[00:01:40.166–00:01:47.788] 因为他包给这个这个食堂承包给这个人的时候，考察的不是他的厨艺。同学们，你明白这个意思吧？
[00:01:49.158–00:01:52.076] 要么是看他能交多少承包费。
[00:01:52.582–00:01:55.372] 要么就看他是不是校长的小舅头。
[00:01:56.678–00:01:57.676] 就这两件考量。
[00:01:59.558–00:02:01.068] 如果是从钱上卡它。
[00:02:01.542–00:02:05.036] 他就失去了拍一个好片子的动力。
[00:02:05.798–00:02:10.668] 如果他是校长小舅子，那他就是没有拍一个好片子的能力。
[00:02:11.686–00:02:16.524] 所以很难出好片子，烂片层层出不穷，就是这个原因封闭。
[00:02:19.206–00:02:22.444] 那我们还要不要做呢？我们学习编剧的意义是什么呢？
[00:02:23.558–00:02:24.652] 我就是希望你。
[00:02:26.214–00:02:30.348] 有朝一日应聘到这个高中食堂做厨师的时候。
[00:02:31.494–00:02:32.492] 用心的炒菜。
[00:02:33.702–00:02:41.228] 我们不要去讲什么大道理，我在这里也不会去给你们讲怎么去改变这种现状。我们作为编剧目前做不到。
[00:02:41.734–00:02:49.388] 我们就脚踏实际把自己的工作做好。有朝一日，我进到这个高中食堂做厨师了。面对我现有的原材料。
[00:02:50.182–00:02:51.788] 和现有的烹饪环境。
[00:02:52.582–00:02:53.836] 用心做好你的菜。
[00:02:55.270–00:03:09.676] 这就是中国影视行业目前的一个大的状态。我不去细讲里面的规则，你们以后都会遇到。但我就跟你说，他现在就是一个封闭的高中食堂，这种情况下导致什么呢？导致了非常多的严重的后果。
[00:03:10.694–00:03:12.492] 比如说导致我们的。
[00:03:13.478–00:03:14.668] 一部分观众。
[00:03:15.366–00:03:19.020] 一部分观众啊开始自暴自弃了，开始老龄化。
[00:03:22.214–00:03:23.564] 老龄化什么意思呢？
[00:03:24.390–00:03:31.116] 你去看啊，我经常观察现在很多很年轻的小年轻一吃饭拿出个pad或者拿个手机。
[00:03:33.670–00:03:34.636] 看武林外传。
[00:03:35.942–00:03:37.452] 或者是看乡村爱情。
[00:03:38.662–00:03:42.220] 还有看爱情公寓的，基本上分这么三股恶势力。
[00:03:44.102–00:03:45.452] 然后看到他在那乐。
[00:03:46.694–00:03:50.860] 我说你这乐什么呢？说，你看刘能赵四马上要打起来了。
[00:03:51.366–00:03:55.276] 我说你知道他们马上要打起来了，你为什么还要看呢？还有什么意思吗？
[00:03:56.774–00:04:00.524] 其实就是烂片太多，逼着他们看在那看老片儿。
[00:04:01.670–00:04:02.764] 这是一个很。
[00:04:03.590–00:04:07.116] 很不正常的收视习惯，因为往往只有老人才这么做。
[00:04:07.974–00:04:09.804] 为什么老人喜欢看戏啊？
[00:04:10.662–00:04:12.044] 比如说他们去听京剧。
[00:04:13.446–00:04:14.796] 包公的铡美案。
[00:04:15.526–00:04:16.908] 对吧包工砸陈世美。
[00:04:18.182–00:04:34.988] 你说今天这个戏包公会不会铡掉陈世伟，对吧？会不会当中出岔头了，在铡的过程中到底铡了几刀铡死没有？有没有铡到一半。有人说刀下留人，然后来了一个这个陈世伟的干爹，是个太监。
[00:04:35.622–00:04:37.548] 对吧那是包龙兴。
[00:04:38.662–00:04:41.740] 没有这种悬念的，看的都是已知。
[00:04:42.534–00:04:56.492] 就是老龄化的观众喜欢看已知，年轻观众应该喜欢看未知呀，未知的故事才最有吸引力嘛，对不对？这点道理都不明白吗？所以现在就把观众逼得硬生生老龄化了。那还有一部分观众。
[00:04:57.670–00:05:00.492] 他没有老龄化，那你国产剧不好看吗？
[00:05:01.222–00:05:02.092] 我看美剧。
[00:05:02.726–00:05:05.548] 我看韩剧，我看外国的剧，对吧？
[00:05:06.086–00:05:09.068] 他们就是有点西方话。
[00:05:10.534–00:05:15.820] 这种情况也非常明显。我跟你说，你看这几年啊有个很明显的趋势。
[00:05:16.518–00:05:19.692] 你从女孩子整容你就能看出来。
[00:05:20.966–00:05:23.404] 他们咋整？欧式的大双眼皮儿。
[00:05:24.198–00:05:25.036] 开个眼角。
[00:05:25.670–00:05:28.972] 然后又窄又翘的小尖儿鼻子。
[00:05:29.606–00:05:31.660] 然后下巴也往前推一推。
[00:05:32.966–00:05:33.868] 再削一削脸。
[00:05:36.614–00:05:39.052] 你说这个这种长相。
[00:05:40.134–00:05:41.932] 你再染个头发，带个美瞳。
[00:05:42.918–00:05:43.884] 就是白人嘛。
[00:05:46.310–00:05:56.876] 这种审美哪来的？为什么会大家现在年轻人普遍觉得这种长相好看呢，不好看，人家不这么整嘛？为什么会觉得这种长相好看呢？其实就是审美希望化。
[00:05:57.766–00:05:58.892] 我们的文化。
[00:05:59.430–00:06:02.732] 照人家比差点意思，等于被人带走了。
[00:06:04.198–00:06:08.492] 就是文化软实力差点意思，影视占很大的一部分。
[00:06:09.542–00:06:14.988] 所以我们作为编剧啊，我们如果要从事编剧啊，一定要肩负起这个责任。
[00:06:15.910–00:06:19.852] 我们树立一点我们的文化自信，慢慢的。
[00:06:20.422–00:06:21.228] 再引导回来。
[00:06:22.022–00:06:26.412] 这些不能怪观众，你没有好片子给人家看，人家当然看那些了。
[00:06:27.110–00:06:27.500] 对吧。
[00:06:28.678–00:06:29.292] 这是一点。
[00:06:30.214–00:06:32.716] 还有些这个社会上的这个声音啊。
[00:06:33.254–00:06:36.844] 老骂这个咱们影视行业出了现在出了很多。
[00:06:37.318–00:06:38.060] 小鲜肉。
[00:06:38.886–00:06:39.948] 流量明星。
[00:06:40.422–00:06:51.052] 对吧出了很多小鲜肉，说这些人把影视行业搞坏了，对吧？他们挣这么多钱，科学家没有人关注，就就经常搞这种。
[00:06:51.686–00:06:56.044] 他没有根据的类比，你说是不是小鲜肉把影视搞坏了？
[00:06:57.670–00:06:58.380] 我可能呢？
[00:06:59.654–00:07:03.852] 小鲜肉鲜肉，它只是一种原材料啊。
[00:07:04.518–00:07:14.668] 对吧它怎么可能影响整个影市呢？它只是审美的一种。除非你说天天吃面条，天天吃面条，说了不吃面条，还吃面条那种。
[00:07:15.526–00:07:27.052] 小鲜肉可能是呃这让你有点崩溃，但是你如果全部换成老腊肉，你吃了不崩溃吗？天天吃老腊肉，对吧？它只是呃审美的一种。
[00:07:27.974–00:07:37.356] 它不会影响大局，真正它就像你这个高中食堂里的一一种原料，它怎么会影响你整个菜品的质量呢？
[00:07:37.958–00:07:39.820] 还是从厨师身上找问题。
[00:07:40.454–00:07:49.196] 好吗？就不要去怪这个小鲜肉。然后啊咱们这个中国的影视行业还有一个很明显的趋势，就是电影啊。
[00:07:52.294–00:07:53.420] 和电视剧。
[00:07:54.918–00:07:56.172] 目前差距越来越大。
[00:07:56.966–00:08:06.572] 我们看到电影这几年啊，中国的电影水平慢慢的呃在往上走，有一点点跟嗯国际接轨的。
[00:08:07.206–00:08:12.844] 趋势了，但是电视剧越来越差，比前几年还差，经典片子已经很少出现了。
[00:08:14.342–00:08:15.436] 注水很严重。
[00:08:15.974–00:08:36.956] 其实电影呃这也造成了现在影视圈有一个歧视链。你拍电影的就瞧不起拍电视剧的。我给大家讲个故事啊，我前几年嗯在一次开会的时候遇到一个很年轻的女编剧，可能也就是大学刚毕业吧。嗯，别人介绍了一下，说你们俩是同行互相认识一下。我呢因为是呃做电视剧为主。
[00:08:37.542–00:08:45.516] 然后我们俩就握了个手，我说哎，咱们是同行，你好，结果他很郑重的纠正了我一下，说你好，我是做电影的。
[00:08:46.598–00:08:53.260] 意思呢就是他比较高级。其实啊电影跟电视剧原本。
[00:08:53.894–00:08:56.108] 本质上来说没有那么大的差距。
[00:08:56.582–00:08:57.388] 他只是。
[00:08:58.150–00:09:01.324] 驱动形式不一样，在这里我可以给大家讲一下啊。
[00:09:01.958–00:09:04.940] 就说电影啊电影。
[00:09:09.286–00:09:11.020] 是结构。
[00:09:14.758–00:09:15.692] 和画面。
[00:09:16.902–00:09:17.580] 的艺术。
[00:09:19.398–00:09:20.876] 然后呢，电视剧。
[00:09:22.086–00:09:23.116] 是人物。
[00:09:25.254–00:09:26.284] 和细节。
[00:09:27.846–00:09:28.428] 的艺术。
[00:09:31.238–00:09:36.204] 啥意思呢？我我更通俗点说，电视剧往往是人物驱动的。
[00:09:37.126–00:09:39.532] 电影呢往往是事件驱动。
[00:09:40.454–00:09:43.020] 不信我问大家一个问题，我就说电视剧。
[00:09:43.718–00:09:44.940] 你们看过爱情公寓吗？
[00:09:46.182–00:09:46.956] 看过对吧？
[00:09:47.814–00:09:50.124] 我问你爱情公寓讲什么的，你回答我。
[00:09:51.942–00:10:00.940] 你大概率的会说爱情公寓就是讲嗯曾小贤、胡亦菲、关谷神奇他们在一块儿乱七八糟的事儿。
[00:10:01.926–00:10:03.116] 我说那什么事儿呢？
[00:10:04.230–00:10:05.356] 你一下子想不起来。
[00:10:06.598–00:10:09.324] 人物驱动，你只记得那些人物了。
[00:10:09.862–00:10:10.316] 对吧。
[00:10:12.646–00:10:13.164] 电影。
[00:10:15.174–00:10:15.756] 我问你。
[00:10:17.190–00:10:20.396] 哎，前几年有个电影2012你看过吗？
[00:10:20.966–00:10:23.628] 你说哎看过我说那个电影讲什么的？
[00:10:24.230–00:10:30.252] 你说哎那是个灾难片，讲的世界末日呀、地球毁灭呀、大洪水呀，挺惨的。
[00:10:30.950–00:10:34.188] 我说那那个电视那个电影的主角是谁呀？
[00:10:34.662–00:10:36.204] 谁最后拯救了地球啊？
[00:10:36.934–00:10:37.708] 很想哎。
[00:10:39.430–00:10:41.100] 好像是个博士。
[00:10:42.118–00:10:43.180] 还是个警察。
[00:10:44.198–00:10:45.228] 还是个特工的。
[00:10:45.958–00:10:46.636] 谁知道去？
[00:10:47.270–00:10:49.900] 你记不得了，但是你记得这个事儿。
[00:10:50.598–00:10:54.412] 就说明电影还是事件驱动的，电视剧是人物驱动。
[00:10:55.494–00:10:57.036] 那为什么会有这种？
[00:10:58.246–00:11:09.484] 为什么会有这种区别呢？其实本质上啊它是由于呃播出形式的不同，而反向导致它有这些不同的。
[00:11:10.438–00:11:17.228] 而且电影一般预算比较大，所以做的会比电视剧精致一点。但这些年的这个差距已经越来越小了。
[00:11:17.798–00:11:21.708] 我跟你讲，是其实本质上是播出形式的区别。
[00:11:22.502–00:11:27.884] 导致他更偏重结构和画面，他更偏注人物和细节。为什么呢？
[00:11:28.454–00:11:31.052] 播出的区别是什么？电影在哪播？
[00:11:31.942–00:11:34.572] 电影在电影院里播，你要买票。
[00:11:35.590–00:11:36.108] 对吧。
[00:11:36.678–00:11:37.804] 他是个消费行为。
[00:11:38.502–00:11:43.628] 你买了票了呀，我花了钱了呀，消费行为。然后在在一个电影院里。
[00:11:44.422–00:11:46.252] 小黑屋里看他俩小时。
