P024 十一课-类型片11.3
离线 ASR 机器转录，未人工听校；可能有错字、漏字或断句错误，不能直接等同于老师逐字原话。
来源：https://www.bilibili.com/video/BV1eE411F73t/?p=24
CID：173861080
源文件 SHA256：fc4117928e8c7289d35b3f020c84db35f75745bf2751c73cd2377619f28762ef

[00:00:03.174–00:00:04.172] 愚者成功。
[00:00:08.774–00:00:09.740] 愚者成功。
[00:00:10.854–00:00:11.308] 啥类型？
[00:00:13.574–00:00:13.996] 啥类型？
[00:00:16.006–00:00:19.340] 我先说一下要素，首先是一个渔者。
[00:00:21.638–00:00:22.220] 然后。
[00:00:23.078–00:00:24.108] 一份伟业。
[00:00:26.726–00:00:27.852] 然后是一个变化。
[00:00:34.566–00:00:37.900] 就是一个不怎么聪明的人，能力有欠缺的人。
[00:00:38.662–00:00:41.228] 面对一个他适应不了的环境。
[00:00:42.534–00:00:43.820] 吸引不了的环境。
[00:00:45.510–00:00:46.060] 最后。
[00:00:48.134–00:00:49.004] 发生了变化。
[00:00:50.022–00:00:51.372] 伪装的变化，而且是。
[00:00:52.006–00:00:53.324] 就是他假装适应了。
[00:00:54.374–00:00:57.932] 怎么去理解呢？我们先来举几个例子吧，阿甘。
[00:00:58.982–00:01:01.452] 他认为阿甘属于这种类型的片子。
[00:01:01.958–00:01:05.548] 或者更我觉得更典型的其实是那个片子，绿正俏佳人。
[00:01:06.982–00:01:22.924] 律正俏佳人就是一个一个法廊妹，就拧拧拧拧扎扎的一个法廊妹去读一个哈佛呀，还是啥的那个一个法学院特别牛逼的一个法学院。然后呢，他在里面就显得格格不入。
[00:01:24.326–00:01:28.620] 格格不入，他就像一个愚者，面对一个啊啊了不得的一个。
[00:01:29.190–00:01:33.260] 环境或者事情搞不定，然后最后发生的变化就是。
[00:01:34.118–00:01:34.796] 他。
[00:01:35.398–00:01:37.644] 适应了这个环境，取得了成功。
[00:01:38.374–00:01:42.188] 但是这个变化呢又是一个伪装的变化，就是他其实还是他自己。
[00:01:42.918–00:01:48.972] 他其实还是他自己，他等于先探索用别人的方式解决问题，最后还是回归自己。
[00:01:49.542–00:01:51.660] 所以其实这种就叫娱热成功。
[00:01:53.350–00:02:01.644] 为什么说就是呃救猫咪的这好分类，有时候会被人攻击或者是被人挑毛病呢？就是这个愚者成功啊。
[00:02:02.374–00:02:03.980] 跟那个小人物那个。
[00:02:04.870–00:02:06.156] 小肉遇大事了。
[00:02:08.358–00:02:09.772] 跟小人物遇大事啊。
[00:02:10.630–00:02:11.724] 是有点类似的。
[00:02:12.774–00:02:17.708] 就是你看啊小人物嘛？一个渔者摊上大事了，去了一个法学院。
[00:02:18.630–00:02:22.156] 其实是有点类似的，他只不过是没有生死考验而已。
[00:02:23.142–00:02:23.628] 对吧。
[00:02:24.518–00:02:26.028] 是有点类似的，就是。
[00:02:26.502–00:02:28.492] 一个小人物摊上一个大事儿。
[00:02:30.918–00:02:31.820] 摊上一个大事儿了。
[00:02:32.806–00:02:34.924] 他有时候还跟如愿以偿，也有点像。
[00:02:35.654–00:02:40.044] 对吧就是说你看你有个愿望嘎嘣一下实现了。
[00:02:40.646–00:02:42.860] 你能你能弄了了吗？
[00:02:43.526–00:02:44.940] 但是他只不过是没有咒语。
[00:02:45.574–00:02:56.140] 没有教训，因为这个是负面的，就是如愿以偿。这个是负面的。你最后是现在更好，你这个是正面的，就是这个哈佛大学法学院它本身是没毛病。
[00:02:56.614–00:02:57.324] 挺好的。
[00:02:57.798–00:03:06.028] 懂这意思吧？是你最后还是需要去适应这个商学院的，只不过你不需要完全改变自己的你你的优点你需要保留。
[00:03:06.790–00:03:08.556] 等于它有细微的区别。
[00:03:09.638–00:03:11.340] 但是啊我为什么。
[00:03:11.974–00:03:17.452] 我说我们有时候咱们自己的那种分类方式也挺好，你全部视为小人物出大事儿。
[00:03:18.886–00:03:23.436] 你全部按我的思路视为小零数出大事也可以，也不会出问题。
[00:03:26.022–00:03:27.084] 好被制度化。
[00:03:27.622–00:03:30.892] 就更加玄妙了啊，跟这些啊。
