P025 十二课-小蝌蚪找妈妈12.1
离线 ASR 机器转录，未人工听校；可能有错字、漏字或断句错误，不能直接等同于老师逐字原话。
来源：https://www.bilibili.com/video/BV1eE411F73t/?p=25
CID：174056852
源文件 SHA256：8edd6c88edf1b3a2c7b070c7eaf31a503928e12334f0da4c3d06927138c15c3b

[00:00:08.998–00:00:10.924] 咱接着再说一会儿吧，好吧。
[00:00:12.070–00:00:12.748] 为啥呢？
[00:00:13.414–00:00:14.028] 因为。
[00:00:14.822–00:00:16.556] 这10个类型我说完之后啊。
[00:00:17.446–00:00:19.980] 这个这个同学跟我反映说听不懂啊。
[00:00:20.870–00:00:25.644] 信其实不是听不懂，是信息量太大，脑子一下有点糊了。
[00:00:26.502–00:00:28.140] 这节课确实很长啊。
[00:00:28.902–00:00:31.756] 所以我喝了一瓶红牛，补充一下能量。
[00:00:32.358–00:00:35.052] 呃，接着给大家再再再再往下说一说。
[00:00:37.574–00:00:39.084] 我再重申一遍啊。
[00:00:39.910–00:00:41.100] 这10个类型。
[00:00:41.670–00:00:49.164] 我们可以理解为10个讲故事的方式，思路是讲故事的类型。
[00:00:49.958–00:00:57.932] 从影片的角度来讲，当然有单一类型的金相毛片，单一类型的麻烦家伙片。但是比如说像爱情。
[00:00:58.406–00:01:01.356] 爱情啊经常可以装进每一个里面。
[00:01:02.182–00:01:03.724] 我们说麻烦家伙行。
[00:01:04.966–00:01:06.092] 周星驰的最爱。
[00:01:07.078–00:01:11.244] 他很多片子都是这样的，但是他往往装一个爱情在里面。
[00:01:11.846–00:01:15.852] 周星驰的每一个片子都装爱情，他从来不把爱情撇掉。
[00:01:16.390–00:01:19.628] 明白这个意思吧？但是他也从来不单独拍爱情片。
[00:01:23.142–00:01:24.012] 明白这个意思吧？
[00:01:24.550–00:01:27.212] 他有时候一个片子里面甚至装好几个爱情。
[00:01:28.998–00:01:32.076] 他跟一个女的爱情，另外她再跟达叔再来一个。
[00:01:32.774–00:01:34.252] 就他跟达叔也是互补。
[00:01:37.606–00:01:43.692] 他跟达叔也是互补。我们说爱情片所有的情感类的片子全都属于爱情片。
