P023 十一课-类型片11.2
离线 ASR 机器转录，未人工听校；可能有错字、漏字或断句错误，不能直接等同于老师逐字原话。
来源：https://www.bilibili.com/video/BV1eE411F73t/?p=23
CID：173863407
源文件 SHA256：41efb3d590247c7d836559ed90329a54fab5cf3206deab265f8f956f8ca0b720

[00:00:04.198–00:00:04.940] 这类骗子。
[00:00:05.894–00:00:06.700] 有几个点。
[00:00:07.782–00:00:08.332] 第一。
[00:00:09.542–00:00:10.252] 陆地。
[00:00:12.806–00:00:13.388] 路径。
[00:00:14.758–00:00:16.236] 第二，团队。
[00:00:19.622–00:00:21.100] 第三，奖励。
[00:00:24.486–00:00:26.348] 奖励或者叫奖品。
[00:00:27.174–00:00:28.012] 啥意思呢？
[00:00:29.414–00:00:31.788] 你去这个寻宝这个路径。
[00:00:32.294–00:00:33.004] 要明确。
[00:00:34.822–00:00:38.732] 我你说为什么说公路片都属于这个类型呢？就是你的路径啊。
[00:00:39.462–00:00:42.380] 公路片的路径是最明确的，就我要到哪去。
[00:00:42.950–00:00:43.340] 对吧。
[00:00:43.846–00:00:49.068] 心花怒放，我要到那个那个那个大理去，路径非常明确。
[00:00:49.670–00:00:51.308] 观众一上来就知道你的路径。
[00:00:54.758–00:00:56.460] 为什么要明确出一个路径呢？
[00:00:56.998–00:01:00.396] 就是在这个地方，这个路径代表主角的。
[00:01:01.190–00:01:01.740] 成长过程。
[00:01:02.566–00:01:03.180] 存长历程。
[00:01:03.718–00:01:07.212] 所以一定要有个明确的路径，对吧？那个。
[00:01:07.846–00:01:13.420] 我们说这个呃金羊毛片子电影金羊毛电影的开山鼻祖。
[00:01:14.246–00:01:15.436] 39年版的。
[00:01:16.070–00:01:17.996] 那个绿叶仙踪。
[00:01:19.654–00:01:20.300] 陶乐斯。
[00:01:21.286–00:01:23.052] 陶老师要去找。
[00:01:23.750–00:01:24.492] 大法师嘛。
[00:01:25.446–00:01:26.444] 到奥兹国嘛。
[00:01:27.334–00:01:28.044] 找大法师。
[00:01:28.710–00:01:29.772] 明确的一个路径。
[00:01:30.278–00:01:31.660] 沿着黄砖走到头。
[00:01:32.870–00:01:33.548] 就能找到。
[00:01:35.142–00:01:35.724] 魔法师。
[00:01:37.126–00:01:38.092] 明确的一个路径。
[00:01:39.206–00:01:39.948] 然后团队。
[00:01:41.350–00:01:43.628] 寻宝片子啊一般来说有它。
[00:01:44.934–00:01:45.932] 一般来说有团。
[00:01:46.822–00:01:50.828] 一个人不好使，最少俩真的最少是双人团队。
[00:01:51.430–00:01:53.516] 你去看那个新华路况俩。
[00:01:54.406–00:02:00.332] 那那个那个那个那那绿野仙踪，那就更不用说了，铁皮人、稻草人、狮子。
[00:02:01.414–00:02:03.884] 再加上陶老师多多5个。
[00:02:04.550–00:02:06.508] 多多不算的话，那也是私人组嘛。
