P007 第三课-八要素的实战应用3.1
离线 ASR 机器转录，未人工听校；可能有错字、漏字或断句错误，不能直接等同于老师逐字原话。
来源：https://www.bilibili.com/video/BV1eE411F73t/?p=7
CID：167856598
源文件 SHA256：37811fe1f7c44abbca9c2ef0202e3aa74f94b3df1d8614fb735c054cec7925b0

[00:00:03.622–00:00:04.844] 又上课了啊。
[00:00:05.606–00:00:07.244] 先回顾一下昨天。
[00:00:08.166–00:00:11.340] 昨天讲的东西啊比较理论，比较概念。
[00:00:12.326–00:00:20.716] 所以我希望你们应该是轻微的记了一下笔记是比较好的是吧？课堂笔记那么上学的时候就得记点笔记呀。
[00:00:21.286–00:00:26.060] 回顾一下呗，昨天啊昨天讲的是故事的三大要素。
[00:00:27.526–00:00:28.364] 人物。
[00:00:29.862–00:00:30.796] 事件。
[00:00:32.966–00:00:33.740] 主题。
[00:00:36.934–00:00:38.636] 然后这三大要素呢。
[00:00:40.134–00:00:42.476] 我们说我们给他细分了8个小要素。
[00:00:43.046–00:00:43.980] 其中人物。
[00:00:44.582–00:00:46.412] 分四分三个小要素。
[00:00:48.454–00:00:49.132] 身份。
[00:00:50.822–00:00:51.852] 冀中的身份。
[00:00:52.326–00:00:54.060] 对吧然后欲望。
[00:00:57.798–00:00:58.572] 他想干啥？
[00:00:59.302–00:01:00.012] 动作。
[00:01:02.982–00:01:03.852] 他为了欲望。
[00:01:05.670–00:01:06.572] 采取的行动。
[00:01:07.078–00:01:08.748] 事件也分三部分。
[00:01:11.270–00:01:12.012] 问题。
[00:01:16.038–00:01:19.436] 这个事件的核心问题是什么？能否解决？
[00:01:20.198–00:01:22.956] 然后阻碍或者叫阻力。
[00:01:24.934–00:01:31.916] 啊，记住也叫沟壑，大部分教程里面是写勾壑俩个字难写。然后结果。
[00:01:34.950–00:01:37.836] 就说他能不能办成这个事儿啊？
[00:01:38.310–00:01:40.876] 遇到了哪些主力呀，你最后得给人。
[00:01:41.350–00:01:48.460] 一个结果对吧？你必须得这个事件得有结果呀，然后主题分正价值。
[00:01:50.886–00:01:51.820] 和附驾值。
[00:01:55.430–00:02:00.012] 我昨天反复强调啊，我昨天反复强调主题必须是正能量。
