P004 第一课-劝学1.3
离线 ASR 机器转录，未人工听校；可能有错字、漏字或断句错误，不能直接等同于老师逐字原话。
来源：https://www.bilibili.com/video/BV1eE411F73t/?p=4
CID：167849613
源文件 SHA256：92f00104f44b306d101d3cb01f1cd9bc6afaf7eec46c2e0bc93e5e44385ca84f

[00:00:03.078–00:00:05.036] 好啊，说到这里啊。
[00:00:05.670–00:00:07.948] 嗯，最后我给大家提一些。
[00:00:09.414–00:00:13.004] 做编剧的一些准备工作和一些刻意的训练的方法。
[00:00:13.574–00:00:16.204] 首先一个准备工作呢，我希望。
[00:00:16.902–00:00:19.148] 每个人准备一个键盘。
[00:00:20.038–00:00:22.636] 有电脑的就不用了，电脑上有键盘。
[00:00:23.206–00:00:24.908] 拿着手机拿着pad吧。
[00:00:25.606–00:00:26.828] 以后不要这样上课。
[00:00:27.494–00:00:28.364] 我不希望。
[00:00:29.094–00:00:32.236] 大家要写东西的时候，你给我在那戳九宫格。
[00:00:33.702–00:00:35.244] 编剧是个艰苦的工作。
[00:00:35.750–00:00:37.580] 需要大量的写作辨习。
[00:00:38.214–00:00:42.316] 你也会爱上写作的机械键盘，那种敲击感，那种仪式感。
[00:00:42.918–00:00:45.836] 会让你有快感的，好吗？准备一个键盘。
[00:00:46.662–00:00:48.748] 然后呢，第二呢准备一个小本。
[00:00:49.446–00:00:50.828] 嗯，一个口袋本。
[00:00:51.750–00:00:52.844] 像我这样的口袋本儿。
[00:00:53.382–00:00:57.548] 带笔的每天随身带着，每天随身带着。
[00:01:00.358–00:01:05.484] 记什么呢？记素材记两种素材。第一，大量的看片。
[00:01:06.150–00:01:09.772] 去看优秀的作品，看不同风格，不同类型的作品。
[00:01:10.502–00:01:15.084] 因为看片儿是能让你最快速的去体会。
[00:01:15.750–00:01:16.716] 不同的。
[00:01:17.670–00:01:21.324] 人生不同的遭遇的一种方式。
[00:01:21.926–00:01:24.140] 比如说你去看一个杀手的片子。
[00:01:24.998–00:01:28.620] 这种你这辈子能体验到杀手杀人前的那种感觉吗？
[00:01:29.798–00:01:34.764] 你就要去去去去看那些片子，去体会他们的处理方式。
[00:01:36.262–00:01:37.420] 这是最快的方式。
[00:01:38.342–00:01:43.948] 第二呢，还记哪种素材呢？记你生活中的素材，因为这些素材是最真实的。
[00:01:45.286–00:01:47.436] 你能最真切的感知他。
[00:01:48.902–00:01:49.964] 比如说你今天。
[00:01:51.526–00:01:59.020] 同学叫你出去吃饭，说毕业十年了，聚会一下吧，你就拿上你的小本。为什么？你今天会记到很多。
[00:01:59.782–00:02:01.036] 装逼炫富的。
[00:02:01.542–00:02:05.004] 呃那个那个情节和台词，对吧？
[00:02:06.054–00:02:26.300] 有人去了，就把这个车钥匙往桌上一扔，还有人去了，就说哎今天都不要AA呀，谁也别抢，我买单，对吧？这种比较实惠的呃炫富也有，还有的呢就喜欢提名字。哎呀，我们公司呢跟阿里巴巴合作比较多，上次跟马云开会啊，哎呦呦呦马老板这建林呢他是怎么回事？
[00:02:26.726–00:02:28.236] 就这个提名者。
[00:02:29.222–00:02:43.340] 形形色色都有你这都是很好的素材，很真实，你需要去记，还有什么男的见到呃男女以前是旧情人，他们见面是怎么怎么回事，对吧？你这些都可以记嘛。
[00:02:44.006–00:02:45.612] 包括你说这次疫情。
[00:02:46.246–00:02:48.620] 嗯，结束以后你回去上班。
[00:02:50.214–00:02:51.500] 一看这公司。
[00:02:52.582–00:02:55.148] 这么长时间没开张，也快黄了。
[00:02:55.750–00:02:58.604] 然后老板呢就过来拍拍你家嘛，说小刘啊。
[00:02:59.078–00:03:00.396] 到我办公室来一趟。
[00:03:01.798–00:03:03.564] 你一拍大腿就知道了这。
[00:03:04.294–00:03:15.788] 老板这是要开除我呀，对吧？小本呢拿着小本进去，为什么你这辈子能被开除几回呀？这么这么珍贵的一线材料，你不记吗？
[00:03:16.326–00:03:18.764] 对吧老板家，哎呀，小刘啊。
[00:03:19.750–00:03:36.076] 你来公司也已经三年了，然后好先写先说时间轴，然后我其实有时候不把你当员工，我把你当兄弟啊，好，喷亲戚又记下来了，对吧？这些都很珍贵，记一下。
[00:03:36.838–00:03:37.836] 记一下。
[00:03:40.582–00:03:49.356] 这个习惯是所有创作者的习惯，不光是编剧，所有的创作者都有这个习惯，你去看就好了，这不是我一个人的习惯。
[00:03:50.214–00:03:58.348] 我这个习惯已经坚持十年十多年了，我基本上从刚入行就就开始有这个习惯了。我我知道这个窍门。
[00:03:59.910–00:04:01.804] 我们跟大家讲一个很夸张的事情。
[00:04:02.470–00:04:04.876] 我我我寄素材寄到什么程度？
[00:04:07.110–00:04:08.236] 很多年前啊。
[00:04:10.182–00:04:11.404] 我父亲去世了。
[00:04:13.990–00:04:17.868] 说到这里啊，你们心里基本上就有数了。
[00:04:18.662–00:04:21.356] 知道我我下面要说什么了？确实。
[00:04:23.270–00:04:28.172] 那天嗯他是凌晨去世的，然后我因为不在老家。
[00:04:29.158–00:04:33.804] 我买了早上最早一班飞机飞回去，然后落地开始。
[00:04:34.854–00:04:36.716] 一天之内处理所有的事情。
[00:04:38.054–00:04:40.332] 包括火葬场啊。
[00:04:40.870–00:04:45.708] 殡仪馆呀下葬呀，然后很多亲戚啊。
[00:04:46.502–00:04:49.068] 这个同村的人都过来招呼。
[00:04:51.334–00:04:53.900] 一天其实都处于一个非常懵逼。
[00:04:54.662–00:04:55.372] 忙碌。
[00:04:56.646–00:04:57.132] 的状态。
[00:04:59.462–00:05:04.492] 跟我以前对一个人失去亲人后的反应。
[00:05:05.126–00:05:05.804] 的想象。
[00:05:06.950–00:05:07.596] 是不一样的。
[00:05:11.174–00:05:13.900] 所以我忍不住把它记下来啊，同学们。
[00:05:16.454–00:05:16.940] 然后。
[00:05:17.734–00:05:20.620] 到了当天晚上，送走所有人之后。
[00:05:21.926–00:05:23.116] 才开始第一次哭。
[00:05:25.030–00:05:25.964] 眼泪。
[00:05:27.302–00:05:28.428] 我感觉那不叫哭。
[00:05:29.286–00:05:30.284] 那叫放水。
[00:05:31.078–00:05:35.308] 就是眼泪真的是第人生第一次体验，眼泪哗哗的流。
[00:05:37.222–00:05:38.828] 像往外喷一样的流。
[00:05:39.526–00:05:42.796] 然后是因为它流的流的速度太快。
[00:05:44.102–00:05:45.132] 那个水的。
[00:05:45.958–00:05:47.148] 那个那个那个。
[00:05:47.622–00:05:49.772] 力量从你的嗓子眼里。
[00:05:50.310–00:05:51.340] 抽出了。
[00:05:51.878–00:05:52.588] 声音。
[00:05:53.830–00:05:56.588] 是机械的裤刑被瞪出来的那种。
[00:05:57.478–00:06:01.516] 原始的声音不我感觉那不是哭，就是那种感觉。
[00:06:04.454–00:06:05.164] 太真实了。
[00:06:07.622–00:06:09.900] 也太珍贵了，所以我就记下来。
