P027 十二课-小蝌蚪找妈妈12.3
离线 ASR 机器转录，未人工听校；可能有错字、漏字或断句错误，不能直接等同于老师逐字原话。
来源：https://www.bilibili.com/video/BV1eE411F73t/?p=27
CID：174057108
源文件 SHA256：40c08b3f8edaae7f9ce37287988988813cd36ad94f1456974cf6404ade85d541

[00:00:03.494–00:00:04.940] 麻烦家伙。
[00:00:06.214–00:00:14.220] 麻烦家伙，我说周星驰那些片子啊呃基本都是小人物摊上啊大事儿，小人物摊上大事儿。
[00:00:18.022–00:00:18.956] 小蝌蚪找妈妈。
[00:00:19.974–00:00:20.588] 给他放进去。
[00:00:24.134–00:00:27.660] 几个元素如辜，就说这个主人公要人畜无害呀。
[00:00:28.198–00:00:29.068] 越善良越好。
[00:00:29.990–00:00:32.428] 呃，破坏之王里面星仔。
[00:00:33.254–00:00:34.156] 多可爱呀。
[00:00:34.630–00:00:44.972] 对吧又可爱又善良送外卖，而且先天的乐天派，所有人都欺泡他他没感觉，他觉得很好呀，很开心呀。乐天派啊。
[00:00:45.446–00:00:47.596] 然后突然天降。
[00:00:49.446–00:00:50.060] 灾祸。
[00:00:52.070–00:00:55.916] 改变了呃他的生活轨迹，让他面临生死考验。
[00:00:56.422–00:01:02.764] 就前面做的越越人畜无害越好，那我们就把它做成一只天真无邪的小蝌蚪。
[00:01:03.974–00:01:05.452] 天真无邪的小蝌蚪呀。
[00:01:06.310–00:01:08.812] 生活在妈妈身边，妈妈对她保护的很好。
[00:01:09.638–00:01:11.116] 他甚至有点傻白甜。
[00:01:12.454–00:01:16.844] 这要保护的很好嘛，无忧无虑啊，就等着快乐的，等着长大就好了。
[00:01:18.342–00:01:18.924] 突然。
[00:01:20.070–00:01:21.004] 天降灾祸。
[00:01:22.502–00:01:23.724] 他妈的，比如说。
[00:01:25.542–00:01:26.444] 他妈被。
[00:01:31.142–00:01:35.916] 被牛蛙店给抓走了，被一个饭店，一个川菜馆子。
[00:01:36.710–00:01:38.828] 给抓走了，在一笼子里面。
[00:01:40.262–00:01:40.972] 王走了。
[00:01:41.734–00:01:42.380] 第溜走了。
[00:01:43.334–00:01:45.484] 天降，这是天降灾祸呀。
[00:01:47.526–00:01:48.396] 他现在要。
[00:01:50.278–00:01:51.404] 小蝌蚪要找妈妈。
[00:01:52.294–00:01:55.276] 就是要去那个川菜馆去把妈妈营救出来。
[00:02:01.126–00:02:01.996] 生死考验。
[00:02:03.302–00:02:07.980] 你去到那个川菜馆，对吧？你怎么过去地下这个下水道这个线路。
[00:02:09.446–00:02:11.436] 是吧你几点去？
[00:02:12.838–00:02:20.300] 几点他们打烊，然后怎么样冲到水族箱，然后水族箱里还有咬人的王八，别你说。
[00:02:20.902–00:02:23.692] 面临生死考验，怎么样把妈妈营救出来？
[00:02:24.966–00:02:27.116] 一个傻白甜的小蝌蚪。
[00:02:28.678–00:02:30.348] 降临到这么大的一个任务。
[00:02:32.614–00:02:35.276] 这种片子啊一般是讲主角的成长。
[00:02:36.294–00:02:38.604] 就他前面很无辜很弱小嘛。
[00:02:39.110–00:02:41.228] 所以这种片子一般都有个训练过程。
[00:02:42.566–00:02:50.348] 你看周星驰片子今天有个训练过程，对吧？那个无敌风火轮之类的，所以他也需要有点刻工片的那种感觉。
[00:02:51.110–00:02:53.228] 训练自己的各种能力。
[00:02:54.694–00:02:56.524] 训练自己憋气，对吧？
[00:02:57.286–00:02:58.796] 脱离水能奔多远？
[00:02:59.398–00:03:04.684] 能能不能奔进去，对吧？然后要要那个那个那个钻下水道。
[00:03:05.318–00:03:16.652] 要爬玻璃，怎么样从那个水族箱的玻璃上一步一步的扭上去，对吧？他要在河边的那个长满青苔的很滑的石头上练模拟那个玻璃。
[00:03:18.950–00:03:20.716] 就是特工训练的那一套。
[00:03:21.254–00:03:27.564] 对吧如何用这个现有的材料给自己制作一个保护色的外套？
[00:03:28.774–00:03:30.476] 对吧谁训练它？
[00:03:31.430–00:03:52.764] 对吧这个这个这我们说千年王八万年归呀，这个池塘里最资深最见多识广的就是一只老王八。这个老王八就是达叔呀，达叔说对吧？要想跟断水流大兄打，你要练成无敌风火轮，这个王八就要教他一些特工技巧，因为这个王八是吃过见过的。
[00:03:52.934–00:03:58.860] 而且这个王八有个什么人生经历呢？他曾经进过这个川菜馆，成功逃脱出来。
[00:03:59.398–00:04:02.284] 他是等于那就不要了。那这样。
[00:04:03.238–00:04:08.396] 这个天降就是他们生活的这个池塘，他以为是个池塘。
[00:04:08.934–00:04:12.044] 他跳出去之后，发现这就是个养殖场。
[00:04:13.030–00:04:16.012] 明白这个意思吗？这就是个养殖场。
