P017 第八课-勾勒画面8.3
离线 ASR 机器转录，未人工听校；可能有错字、漏字或断句错误，不能直接等同于老师逐字原话。
来源：https://www.bilibili.com/video/BV1eE411F73t/?p=17
CID：168277841
源文件 SHA256：baa383e01087d9ca72129049a3cddbe5e7c22fa0e7805b0cf79845eaffa56212

[00:00:03.270–00:00:05.676] 但是老婆女儿对他的耐心已经用完了。
[00:00:06.150–00:00:11.916] 已经不打算等他帮女儿交学费，也不打算等他什么了。人家那边。
[00:00:12.582–00:00:13.644] 您开始过日子了。
[00:00:14.374–00:00:22.476] 而且他之他之前无在无效尝试的时候，还去惹过那对父子，他的形象已经在那完全坍塌了，他就是个无赖。
[00:00:23.334–00:00:24.716] 他在那边就是个无赖。
[00:00:25.318–00:00:27.052] 那对父子现在是好人。
[00:00:27.686–00:00:29.196] 对吧是可靠的男人。
[00:00:30.278–00:00:40.460] 所以他在升职呃，就升为正式警察，得到表彰之后去找妻女又被撵出来，等于是可以往下打他一下。
[00:00:41.158–00:00:48.812] 然后真正把他打趴下呢，可以用一件什么事儿呢？他之前在夜摊放走的那个小流氓，其实。
[00:00:49.830–00:00:50.476] 是逃犯。
[00:00:52.294–00:00:53.164] 又行凶了。
[00:00:54.086–00:00:54.828] 杀人了。
[00:00:56.422–00:00:56.972] 比如说。
[00:00:58.310–00:00:59.340] 那这条命。
[00:01:00.454–00:01:01.612] 是不是得寄在他头上？
[00:01:05.990–00:01:07.436] 放走的那个小流氓杀人了。
[00:01:08.422–00:01:09.708] 这条面就进你头上了。
[00:01:10.950–00:01:15.308] 他自己一看那个照片，他就明白了这条命在我身上。
[00:01:20.134–00:01:24.236] 当然啊你可以你写到这儿的时候，你可以根据情形做调整啊。
[00:01:24.902–00:01:26.028] 可以不要是条命。
[00:01:27.494–00:01:28.492] 可以是一个。
[00:01:29.094–00:01:37.932] 就看你看程度啊，你如果觉得这里需要他惹一个大事儿，那就是一个花季少女被杀了，被奸杀了，先奸后杀，杀完又奸。
[00:01:38.406–00:01:39.340] 那他扛了。
[00:01:40.454–00:01:42.892] 他在观众里扛的罪孽就最大。
[00:01:44.678–00:01:48.972] 你说我想扛的稍微轻那么一点点，那就是一个小伙子为啥？
[00:01:50.182–00:02:02.092] 小伙子被杀了，在观众那里扛的罪孽，比比一个少女要低一点，或者一个老太太，真的这种话说出来很恶心。
[00:02:02.822–00:02:06.476] 命生命其实是平等的，但是在心里呀。
[00:02:07.750–00:02:08.524] 真的就是这样。
[00:02:10.022–00:02:11.692] 就是一个小伙子被杀了。
[00:02:12.678–00:02:14.284] 没有一个少女。
[00:02:14.758–00:02:15.596] 被杀了。
[00:02:16.518–00:02:17.452] 来的沉重。
[00:02:18.886–00:02:23.180] 你说我不想他抗命也可以，那就被砍成植物人。
[00:02:26.022–00:02:26.860] 你说那。
[00:02:27.494–00:02:29.036] 植物人有有点。
[00:02:29.606–00:02:31.788] 反正有点那就一个少女被强奸了。
[00:02:32.550–00:02:33.900] 没死，养家了。
[00:02:34.598–00:02:36.492] 反正这个你自己去调整啊。
[00:02:37.030–00:02:38.156] 但不能再清了。
[00:02:38.854–00:02:52.972] 不能再听了，你不可能说我放走了那个当年当时在我背后欺负人那个小流氓，我因为我自己那个伤心在那喝酒，不想管他。然后呢，他跑出去抢了别人的钱包，你这个就。
[00:02:53.734–00:02:59.852] 你这个观众就会觉得那没什么，钱还能再挣，你懂我意思吧？就不能再轻了。
[00:03:00.390–00:03:01.516] 不能再听了。
[00:03:02.502–00:03:04.812] 至少要么弄出一个植物人，要么。
[00:03:05.350–00:03:10.188] 常见，而且植物人是个小伙子，都太轻了，植物人也得是个少女。
[00:03:11.590–00:03:12.396] 反正啊。
[00:03:13.222–00:03:14.604] 在这儿把它打下来。
[00:03:15.302–00:03:16.172] 就是这个。
[00:03:17.446–00:03:18.732] 把它打下来用什么呢？
[00:03:22.918–00:03:24.780] 就是他之前放走的那个。
[00:03:27.142–00:03:30.508] 相当于他的原罪啊，他的开场戏就给人放走了那个。
[00:03:31.782–00:03:35.596] 杀人了，我们先说杀人了啊，好，理解杀人了。
