P035 十五课-节拍器15.2
离线 ASR 机器转录，未人工听校；可能有错字、漏字或断句错误，不能直接等同于老师逐字原话。
来源：https://www.bilibili.com/video/BV1eE411F73t/?p=35
CID：190303059
源文件 SHA256：85079d1274510a69db6f670e573915fcf7ac5665dbb50afaf09ef9e9d8fd2dbf

[00:00:01.894–00:00:05.260] 就是说你营造一个啥样的世界，你在前十分钟要干出来。
[00:00:08.966–00:00:10.508] 很多人觉得这是句废话。
[00:00:11.014–00:00:15.372] 所以就给忽略了，这不是废话啊，一定要把你世界观构建出来。
[00:00:16.902–00:00:17.548] 比如说。
[00:00:19.238–00:00:23.500] 假设你拍一个呃这个这个很多年轻人喜欢写的高中生活。
[00:00:25.062–00:00:25.580] 对吧。
[00:00:26.918–00:00:27.980] 你你你你。
[00:00:28.870–00:00:35.116] 你要营造一个什么样的世世界观？就虽然同样是高中校园啊，世界观也可以不一样的。
[00:00:36.006–00:00:38.476] 就比如说我想赢到高三那种。
[00:00:39.462–00:00:41.772] 你死我活的拼杀。
[00:00:43.078–00:01:03.228] 这个这一种生活啊，就是我上去你就下来了，咱学校就考俩北大，对吧？我上你就下就我想营造那种世界观，那是一种世界观。或者你想营造那种啊十七八岁天真烂漫美美好的那个懵懂的小爱情，那也是一种对高中生活的理解。
[00:01:03.526–00:01:04.524] 就说这个这个。
[00:01:05.318–00:01:07.884] 这里的世界观你要你要搞出来了。
[00:01:08.486–00:01:13.068] 对吧你像如果是一场我们说商业大战的那种。
[00:01:14.566–00:01:15.980] 那种那个那个。
[00:01:17.158–00:01:19.756] 商战类型的那种故事。
[00:01:20.358–00:01:26.348] 创业类型的故事。那在这里这个世界观比如说金钱至上，有钱就是说了算。
[00:01:27.366–00:01:29.292] 对吧有钱就是说了算。
[00:01:29.894–00:01:34.796] 金钱至上，那你就要前十局十分钟把这个十几万搞出来啊。
[00:01:35.686–00:01:36.460] 搞出来呀。
[00:01:38.374–00:01:38.956] 对吧。
[00:01:41.574–00:01:43.660] 所以说这个铺垫啊前十分钟。
[00:01:44.390–00:01:52.204] 做这个事儿的人物，所有的人物的出场，所有人物的出场。思老师说的啊，所有人物的出场。然后呢。
[00:01:52.710–00:01:53.484] 主题。
[00:01:54.214–00:01:56.620] 主题第5分钟把主题点掉。
[00:01:57.606–00:01:58.188] 然后。
[00:01:59.110–00:02:01.708] 世界观这是一个啥样的世界？
[00:02:02.182–00:02:06.860] 说这是个弱肉强食的世界，对吧？这是一个民不聊生的世界。
[00:02:07.654–00:02:10.860] 这是一个万家灯火欣欣向荣的时界。
[00:02:11.974–00:02:13.804] 这是一个战火连天的事件。
[00:02:14.278–00:02:17.004] 前十分钟把这个世界观给我勾勒出来。
[00:02:18.214–00:02:18.828] 勾勒出来。
[00:02:19.590–00:02:22.252] 然后我说点主题在第5分钟点。
[00:02:25.894–00:02:29.836] 思思老师说了，司老师说点主题要用嘴点。
[00:02:31.366–00:02:41.996] 要用台词点思老师说的啊，思老师说在第5分钟的时候，需要有人用嘴巴用台词把主题给我点出来。他的其实啥意思啊？就是要明确的点出来。
[00:02:42.694–00:02:44.332] 明确的点出主题来。
[00:02:46.470–00:02:47.820] 可以不是主角的嘴。
[00:02:48.806–00:02:52.588] 也可以是一个很次要的角色的嘴。但是要有人说出来。
[00:02:53.190–00:03:00.044] 人家说有钱就可以为所欲为吗？然后这个人哎就是这样这言词叫什么？哎，就是可以为所欲为，对吧？
[00:03:00.966–00:03:04.364] 哎，你说对了，有钱就是可以为所欲为。
[00:03:05.318–00:03:06.572] 把主题点出来。
[00:03:08.902–00:03:10.220] 用嘴一点啊。
[00:03:11.622–00:03:15.500] 然后12分钟推动，其实就是我们经常说的激励时件。
[00:03:15.974–00:03:18.028] 就激励事件开始集。
[00:03:18.726–00:03:30.764] 开始击在12分钟开始击。因为斯奈德先生认为是比较重视激励事件的，他认为12分钟先击一下，然后12到15分钟主角产生了争执，就说我被击了。
[00:03:31.814–00:03:32.332] 对吧。
[00:03:32.934–00:03:34.284] 常见的激利事件来。
[00:03:35.046–00:03:39.116] 呃，那个比如说我是哈利波特，他们虐待我。
[00:03:39.942–00:03:41.420] 我这个养父母虐待我呀。
[00:03:42.118–00:03:44.492] 他们打我欺负我不给我饭吃。
[00:03:46.150–00:03:51.244] 他们不可能第一12分钟第一次虐待你，但你不可能一虐待你，你就。
[00:03:51.750–00:03:57.580] 你就跑吧，你就离家出走吧，你这个主角还是要有点那个那个。
[00:03:58.438–00:04:07.084] 不能做事儿这么唐突。所以12分钟的时候先击你一下，激完了你以后呢，你是产生争执的。比如说。
[00:04:07.782–00:04:09.516] 比如说你的养父母虐待你。
[00:04:10.054–00:04:14.444] 虐待了你第一次之后，你你的第一反应是，那我好好表现呀。
[00:04:15.238–00:04:21.740] 对吧我考了1个100分，或者是我出去呃捡炮弹儿挣了20块钱，我回来交给我养母。
[00:04:22.342–00:04:24.364] 这就是争执，就是我想用。
[00:04:25.126–00:04:26.476] 其实就是我说的一思。
[00:04:27.078–00:04:47.644] 人家对你不好，那你好好表现呗，依次动作这是正常的动作。结果发现他们又揍我，他们还说这20块钱是不是你投的？我那天丢了20呀，你那个不要脸的杨母说你明明捡破烂，辛辛苦苦挣的20，对吧？他说是他那天丢了20，你他他丢了那那20是一张整的。
[00:04:47.846–00:04:50.220] 我捡破盖收的这是他妈一把零钱呀。
[00:04:52.582–00:04:53.612] 他就这么冤枉你。
[00:04:54.630–00:05:01.356] 对吧你这不就是自己该在自己争执吗？然后想想妈这个臭娘们，想想手里还有老鼠药。
[00:05:02.182–00:05:09.548] 下毒对吧？所以就是说12分钟时候开始开始激励，你可以视为激励事件的起点。
[00:05:10.118–00:05:17.196] 然后12到15是整个反复集忆，就说你这个养母啊揍你好几回，你才弄死他。
[00:05:17.670–00:05:23.340] 而且当中你是有争执的，你是先尝试跟他好好沟通，尝试对他好一点。
[00:05:24.806–00:05:25.260] 好吧。
[00:05:25.830–00:05:29.100] 这就是斯耐德先生对起的25分钟的。
[00:05:31.974–00:05:33.548] 呃，更详细的拆解。
[00:05:35.430–00:05:37.324] 更详细的拆解争执。
[00:05:39.654–00:05:43.116] 是12到25啊，推动的12明白了吧？
[00:05:44.902–00:05:46.156] 好，我们往下说。
[00:05:48.230–00:05:50.924] 成这个阶段啊是30分钟。
[00:05:53.798–00:05:54.540] 在这里。
[00:05:55.078–00:05:58.828] 他现在25分钟这个位置做一个叫衔接点。
[00:06:02.534–00:06:04.524] 25分钟做一个衔接点。
[00:06:07.078–00:06:07.852] 然后。
[00:06:14.118–00:06:34.172] B故事是30分钟，B故事网上流行英语啊AB故事待会给大家详细说一下啊，以后听到别人问点品在你面前AB故事B故事A故事B故事咱也不怕啊，咱也不怕，别被他们唬住好吗？不要整AB就就就就觉得唬人了，我给你们讲一讲是怎么。
[00:06:34.278–00:06:35.084] 事啊。
[00:06:36.294–00:06:38.060] 30分钟的时候，B务室。
[00:06:41.766–00:06:42.476] 然后。
[00:06:43.238–00:06:46.252] 我们说你看啊30到50。
[00:06:49.254–00:06:51.404] 30到50，它叫。
[00:06:52.038–00:06:52.780] 游戏。
[00:06:55.270–00:06:56.492] 30到50。
[00:06:57.574–00:06:59.244] 怎么把350给框起来。
[00:07:00.070–00:07:01.228] 30到50。
[00:07:01.926–00:07:02.732] 是游戏。
[00:07:04.326–00:07:06.508] 我们说到这儿是55嘛，对吧？
[00:07:07.014–00:07:07.660] 然后。
[00:07:09.382–00:07:10.220] 55。
[00:07:10.822–00:07:12.108] 这里做一个终点。
[00:07:15.462–00:07:17.580] 55这里做一个终点。
[00:07:19.366–00:07:21.676] 这是他对第二阶段的一个细分。
[00:07:23.814–00:07:24.716] 啥意思呢？
[00:07:25.670–00:07:31.180] 啥意思呢？这一段其实很好理解，而且这一段是泄力的一段。
[00:07:32.902–00:07:35.084] 我们说前20文中是蓄力。
[00:07:35.686–00:07:36.940] 你信息量也大。
[00:07:37.606–00:07:41.004] 情节相对也有力度，你的后妈老打你呀。
[00:07:41.830–00:07:43.116] 下下死手。
[00:07:43.590–00:07:46.060] 所以这里其实是蓄力。
[00:07:46.662–00:07:47.532] 挺狠的。
[00:07:48.390–00:07:58.988] 第二阶段呢乘这个阶段起承转和乘这个阶段其实是一个泄力的一个一个阶段。我们先来说它细分的这几点，25分钟开始衔接点。
[00:08:01.126–00:08:05.484] 衔接点它为什么叫衔接点啊？其实是其实是一个变化点。
[00:08:07.302–00:08:07.884] 变化点。
[00:08:08.422–00:08:09.420] 就说你看啊。
