P029 十三课-电视剧13.2
离线 ASR 机器转录，未人工听校；可能有错字、漏字或断句错误，不能直接等同于老师逐字原话。
来源：https://www.bilibili.com/video/BV1eE411F73t/?p=29
CID：177383899
源文件 SHA256：ad67524f07dcd68e3f2de61641b1029028807e0a8de0f8749362855b82a64d27

[00:00:04.326–00:00:05.708] 这放现在绝对审不过。
[00:00:06.534–00:00:08.908] 但是赵老师让这个戏过了。
[00:00:10.374–00:00:11.020] 审过。
[00:00:12.006–00:00:13.260] 你别管人家走不过的。
[00:00:13.830–00:00:21.068] 你别管人家怎么审过了，人后审过了就是英雄汉，就是牛逼。所以这部戏对我印象也是非常深。
[00:00:24.966–00:00:28.812] 这就是中国电视剧，我这是随便一回忆啊，肯定有遗漏啊。
[00:00:29.670–00:00:32.908] 嗯，跟我同龄的人肯定会有一些补充。
[00:00:33.478–00:00:43.116] 就我想告诉大家什么呢？就中国电视剧过去曾经非常的强，这个市场很强，不光咱们自己做的好，我们引进还引进很多。
[00:00:44.774–00:00:45.228] 就是。
[00:00:46.278–00:00:57.100] 我们曾经牛逼过中国的电视剧曾经非常牛逼，又引进国外优秀的，又往外输出，整个亚洲都看，中国的电视剧都看。
[00:00:57.766–00:00:58.604] 早期的时候。
[00:00:59.878–00:01:01.228] 这是中国电视剧的过去。
[00:01:02.694–00:01:04.236] 辉煌啊俩字儿。
[00:01:05.542–00:01:07.372] 然后中国电视剧的现在。
[00:01:10.118–00:01:15.500] 也用一句话总结的话，就是和国外差距越来越大。
[00:01:16.326–00:01:17.036] 越来越大。
[00:01:18.982–00:01:22.572] 这么说吧，就中国电视剧这两年退步的非常明显。
[00:01:23.078–00:01:28.012] 但是从国际上来说，电视剧这讲这两年蓬勃发展。
[00:01:28.582–00:01:29.420] 因为网络。
[00:01:30.246–00:01:39.084] 因为新的观看方式，新的新的收视模式带来蓬勃的发展。你去看美剧，美剧这几年真的是大发展啊。
[00:01:40.486–00:01:42.252] 以前美剧也没有很高啊。
